product_id,product_name,category,custo_atual_usd
98,Motor Diesel Parsun Velocity Abyss Orca 235HP,propulsão,12866.8
99,Motor Elétrico Honda Flux Ultra 273HP,propulsão,17732.37
100,Motor Elétrico Honda Vector Abyss 220HP,propulsão,19604.58
101,Cabo de Nylon Delta Vortex,ancoragem,82.84
102,Cabo de Nylon Bruce Nexus,ancoragem,144.07
103,Âncora Delta Swift,ancoragem,324.68
104,Cabo de Nylon Delta Zen Vortex Storm,ancoragem,742.54
105,Cabo de Nylon Danforth Prime,ancoragem,53.37
106,Âncora Danforth Nitro Titan Vox,ancoragem,820.98
107,Boia de Arqueamento Bruce Tidal Marlin,ancoragem,311.59
108,Boia de Arqueamento Bruce Titan,ancoragem,688.83
109,Cabo de Nylon Danforth Evo Aqua Mako,ancoragem,109.49
110,Corrente Bruce Current,ancoragem,443.85
111,Boia de Arqueamento Danforth Aero Dash,ancoragem,860.37
112,Corrente Danforth Tidal,ancoragem,404.31
113,Âncora Delta Mako Ultra,ancoragem,750.6
114,Boia de Arqueamento Danforth Tidal Zen Swift,ancoragem,152.46
115,Cabo de Nylon Delta Force Magnum Leviathan,ancoragem,167.9
116,Cabo de Nylon Delta Velocity Oceanic Abyss,ancoragem,502.24
117,Corrente Danforth Zen Abyss Axis,ancoragem,756.01
118,Boia de Arqueamento Delta Force Vox,ancoragem,787.87
119,Âncora Bruce Aqua,ancoragem,669.88
120,Boia de Arqueamento Danforth Flux Tidal,ancoragem,635.45
121,Âncora Danforth Oceanic Helix Flux,ancoragem,640.2
122,Corrente Danforth Zenith Oceanic Torque,ancoragem,222.63
123,Cabo de Nylon Danforth Orca Aero,ancoragem,490.63
124,Corrente Delta Axis,ancoragem,635.07
125,Cabo de Nylon Danforth Kinetic,ancoragem,646.27
126,Corrente Danforth Hydro,ancoragem,467.05
127,Cabo de Nylon Delta Velocity Core Mako,ancoragem,281.15
128,Boia de Arqueamento Bruce Marlin Hydra,ancoragem,850.07
129,Corrente Delta Boost,ancoragem,599.77
130,Boia de Arqueamento Delta Zen Boost Vortex,ancoragem,752.23
131,Boia de Arqueamento Danforth Core Vortex,ancoragem,175.62
132,Corrente Bruce Nautic Evo,ancoragem,282.75
133,Âncora Bruce Core Pulse,ancoragem,381.67
134,Âncora Delta Storm Vox,ancoragem,948.15
135,Cabo de Nylon Danforth Titan Poseidon,ancoragem,304.04
136,Cabo de Nylon Bruce Flux Hydro,ancoragem,390.62
137,Âncora Danforth Impulse,ancoragem,632.89
138,Boia de Arqueamento Delta Peak Boost Thrust,ancoragem,741.89
139,Boia de Arqueamento Danforth Torque,ancoragem,246.89
140,Boia de Arqueamento Bruce Dash Titan Pulse,ancoragem,565.59
141,Boia de Arqueamento Bruce Nexus Abyss,ancoragem,825.76
142,Âncora Danforth Vector Evo,ancoragem,155.62
143,Âncora Delta Hydra Kraken Velocity,ancoragem,836.16
144,Boia de Arqueamento Bruce Barracuda,ancoragem,402.54
145,Boia de Arqueamento Delta Nexus,ancoragem,718.09
146,Corrente Delta Vox Ion,ancoragem,82.88
147,Corrente Danforth Force Leviathan Impulse,ancoragem,592.19
148,Âncora Delta Force Barracuda Mako,ancoragem,860.42
149,Cabo de Nylon Bruce Core,ancoragem,225.94
150,Cabo de Nylon Danforth Magnum Vox,ancoragem,288.9
